panel,condition,metric,estimate,ci_low,ci_high
classification,L4_P1,non_merge_recall,0.15384615384615385,0.0,0.375
classification,L4_P5,non_merge_recall,0.6153846153846154,0.3333333333333333,0.8666666666666667
classification,L4_P6,non_merge_recall,0.6153846153846154,0.3333333333333333,0.8825163398692801
classification,L4_P1,merge_recall,1.0,1.0,1.0
classification,L4_P5,merge_recall,0.5945945945945946,0.4323359073359074,0.7560975609756098
classification,L4_P6,merge_recall,0.5714285714285714,0.40540540540540543,0.7352941176470589
generation,L4_P3,composite_quality,3.454225352112676,3.2183098591549295,3.6831866197183096
generation,L4_P5,composite_quality,3.464788732394366,3.221830985915493,3.7007042253521125
generation,L4_P6,composite_quality,3.4618055555555554,3.2777777777777777,3.6493923611111105
