panel,level,prompt,metric,estimate,ci_low,ci_high
classification,L0,P1,balanced_accuracy,0.5384615384615384,0.5,0.6333333333333333
classification,L1,P1,balanced_accuracy,0.5,0.5,0.5
classification,L2,P1,balanced_accuracy,0.5833333333333334,0.5,0.7083333333333334
classification,L3,P1,balanced_accuracy,0.5769230769230769,0.5,0.6875
classification,L4,P1,balanced_accuracy,0.5769230769230769,0.5,0.6875
classification,L0,P1,non_merge_recall,0.07692307692307693,0.0,0.26666666666666666
classification,L1,P1,non_merge_recall,0.0,0.0,0.0
classification,L2,P1,non_merge_recall,0.16666666666666666,0.0,0.4166666666666667
classification,L3,P1,non_merge_recall,0.15384615384615385,0.0,0.375
classification,L4,P1,non_merge_recall,0.15384615384615385,0.0,0.375
generation,L0,P3,judge_relevance,1.5277777777777777,1.3055555555555556,1.7777777777777777
generation,L1,P3,judge_relevance,1.6527777777777777,1.4166666666666667,1.9166666666666667
generation,L2,P3,judge_relevance,1.6231884057971016,1.4057971014492754,1.8695652173913044
generation,L3,P3,judge_relevance,1.8,1.542857142857143,2.1
generation,L4,P3,judge_relevance,1.5633802816901408,1.352112676056338,1.8028169014084507
generation,L0,P3,judge_hallucination,1.2083333333333333,1.0416666666666667,1.4305555555555556
generation,L1,P3,judge_hallucination,1.3194444444444444,1.1111111111111112,1.5694444444444444
generation,L2,P3,judge_hallucination,1.6666666666666667,1.3623188405797102,2.0144927536231885
generation,L3,P3,judge_hallucination,1.1571428571428573,1.0,1.3571428571428572
generation,L4,P3,judge_hallucination,1.619718309859155,1.3098591549295775,1.971830985915493
