panel,prompt,non_merge_recall,merge_recall,nmr_ci_low,nmr_ci_high,mr_ci_low,mr_ci_high,metric,estimate,ci_low,ci_high,direction
classification,P1,0.15384615384615385,1.0,0.0,0.375,1.0,1.0,,,,,
classification,P5,0.6153846153846154,0.5945945945945946,0.3333333333333333,0.8666666666666667,0.4323359073359074,0.7560975609756098,,,,,
classification,P6,0.6153846153846154,0.5714285714285714,0.3333333333333333,0.8825163398692801,0.40540540540540543,0.7352941176470589,,,,,
generation,P3,,,,,,,judge_relevance,1.5633802816901408,1.352112676056338,1.8028169014084507,higher_better
generation,P3,,,,,,,judge_actionable,4.084507042253521,3.7746478873239435,4.366197183098592,higher_better
generation,P3,,,,,,,judge_correct,3.788732394366197,3.436619718309859,4.140845070422535,higher_better
generation,P3,,,,,,,judge_hallucination,4.380281690140845,4.028169014084507,4.690140845070423,reversed
generation,P5,,,,,,,judge_relevance,1.8873239436619718,1.5774647887323943,2.1971830985915495,higher_better
generation,P5,,,,,,,judge_actionable,3.943661971830986,3.647887323943662,4.225352112676056,higher_better
generation,P5,,,,,,,judge_correct,3.676056338028169,3.295774647887324,4.028169014084507,higher_better
generation,P5,,,,,,,judge_hallucination,4.352112676056338,4.014084507042254,4.676056338028169,reversed
generation,P6,,,,,,,judge_relevance,1.5972222222222223,1.3607638888888889,1.8472222222222223,higher_better
generation,P6,,,,,,,judge_actionable,4.0,3.763888888888889,4.222222222222222,higher_better
generation,P6,,,,,,,judge_correct,3.9166666666666665,3.5972222222222223,4.236111111111111,higher_better
generation,P6,,,,,,,judge_hallucination,4.333333333333333,4.027777777777778,4.638888888888889,reversed
